"Test" "Group" "Subj" "eAP" "eML" "dAP" "dML" "dTot" "dSmth" "GT" "eTot" "test"
"130" "teof" "N" "li" 657.960333 435.09767 375.2 433.15 634.08 137.11 "N.teof" 1093.058 4
"131" "tecf" "N" "li" 143.371667 897.638 397.59 480.77 688.76 194.79 "N.tecf" 1041.00967 5
"132" "tvcf" "N" "li" 356.218333 640.204 330.49 417.86 588.6 104.39 "N.tvcf" 996.42233 6
"133" "teoh" "N" "lp" 181.908333 125.686 410.92 506.13 722.2 48.95 "N.teoh" 307.59433 1
"134" "tech" "N" "lp" 27.519667 92.66667 392.18 507.88 709.68 76.83 "N.tech" 120.18633 2
"135" "tvch" "N" "lp" 9.903333 102.35133 378.74 501.27 694.7 56.09 "N.tvch" 112.25467 3
"136" "teof" "N" "lp" 393.666667 266.22067 400.54 528.98 729.48 89.22 "N.teof" 659.88733 4
"137" "tecf" "N" "lp" 987.107 484.045 398.49 582.11 772.89 131.36 "N.tecf" 1471.152 5
"138" "tvcf" "N" "lp" 711.767667 595.012 402.31 566.07 764.07 107.56 "N.tvcf" 1306.77967 6
"139" "teoh" "N" "ma" 23.893667 58.11233 287.77 328.91 481.04 47.13 "N.teoh" 82.006 1
"140" "tech" "N" "ma" 26.267667 58.912 319.72 373.75 542.6 50.55 "N.tech" 85.17967 2
"141" "tvch" "N" "ma" 31.809 38.662 304.14 362.07 521.07 43.7 "N.tvch" 70.471 3
"142" "teof" "N" "ma" 373.969333 476.942 321.99 379.15 550.19 83.29 "N.teof" 850.91133 4
"143" "tecf" "N" "ma" 232.478333 155.47167 295.06 365.27 516.78 77.76 "N.tecf" 387.95 5
"144" "tvcf" "N" "ma" 214.634 366.279 307.72 365.97 529.52 79.04 "N.tvcf" 580.913 6
"145" "teoh" "N" "nv" 63.357 311.23967 237.89 268.04 401.68 65.96 "N.teoh" 374.59667 1
"146" "tech" "N" "nv" 79.753 425.41033 235.96 255.25 390.46 116.86 "N.tech" 505.16333 2
"147" "tvch" "N" "nv" 150.845667 763.74267 244.16 246.59 392.66 82.48 "N.tvch" 914.58833 3
"148" "teof" "N" "nv" 381.224333 175.25333 256.98 274.42 418.5 65 "N.teof" 556.47767 4
"149" "tecf" "N" "nv" 1593.214333 1087.01 278.74 328.77 479.94 202.93 "N.tecf" 2680.22433 5
"150" "tvcf" "N" "nv" 566.305 711.57767 246.75 310.03 442.72 132.71 "N.tvcf" 1277.88267 6
"151" "teoh" "N" "nw" 50.425 66.925 286.03 351.54 500.24 57.74 "N.teoh" 117.35 1
"152" "tech" "N" "nw" 104.816 342.515 290 404.83 548.33 132.46 "N.tech" 447.331 2
